"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"55","GO:1902850","microtubule cytoskeleton organization involved in mitosis",109,0,2.95,362,"1.000","1.0000","0.0302"
"56","GO:0050829","defense response to Gram-negative bacterium",10,0,0.27,363,"1.000","0.0307","0.0307"
"57","GO:0055086","nucleobase-containing small molecule metabolic process",254,8,6.88,364,"1.000","1.0000","0.0307"
"58","GO:0042335","cuticle development",107,2,2.9,365,"1.000","0.7948","0.0311"
"59","GO:1901617","organic hydroxy compound biosynthetic process",16,0,0.43,366,"1.000","0.6985","0.0317"
"60","GO:0050808","synapse organization",32,1,0.87,236,"0.585","0.0318","0.0318"
"61","GO:0018105","peptidyl-serine phosphorylation",15,0,0.41,367,"1.000","0.0330","0.0330"
"62","GO:0018209","peptidyl-serine modification",15,0,0.41,368,"1.000","1.0000","0.0330"
"63","GO:0018193","peptidyl-amino acid modification",193,4,5.22,369,"1.000","0.0413","0.0333"
"64","GO:0048589","developmental growth",494,14,13.37,85,"0.175","0.7693","0.0351"
"65","GO:0051270","regulation of cellular component movement",58,1,1.57,370,"1.000","0.9801","0.0359"
"66","GO:0010959","regulation of metal ion transport",13,0,0.35,371,"1.000","0.0363","0.0363"
"67","GO:0009259","ribonucleotide metabolic process",137,3,3.71,372,"1.000","1.0000","0.0365"
"68","GO:0035725","sodium ion transmembrane transport",32,0,0.87,373,"1.000","0.0374","0.0374"
"69","GO:0044271","cellular nitrogen compound biosynthetic process",1805,41,48.86,374,"1.000","0.7737","0.0386"
"70","GO:0010628","positive regulation of gene expression",125,3,3.38,375,"1.000","0.0068","0.0412"
"71","GO:0046835","carbohydrate phosphorylation",13,0,0.35,376,"1.000","0.0420","0.0420"
"72","GO:0048562","embryonic organ morphogenesis",15,1,0.41,150,"0.338","0.1052","0.0425"
"73","GO:0031344","regulation of cell projection organization",33,2,0.89,377,"1.000","0.2505","0.0447"
"74","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",40,2,1.08,225,"0.548","0.0170","0.0450"
"75","GO:0006493","protein O-linked glycosylation",10,0,0.27,378,"1.000","0.0453","0.0453"
"76","GO:0048639","positive regulation of developmental growth",347,8,9.39,379,"1.000","0.1130","0.0462"
"77","GO:0051345","positive regulation of hydrolase activity",40,1,1.08,380,"1.000","0.4340","0.0474"
"78","GO:0043547","positive regulation of GTPase activity",27,1,0.73,214,"0.524","0.0478","0.0478"
"79","GO:0001708","cell fate specification",108,0,2.92,381,"1.000","0.0612","0.0480"
"80","GO:0007498","mesoderm development",17,0,0.46,382,"1.000","0.6226","0.0483"
"81","GO:0010769","regulation of cell morphogenesis involved in differentiation",23,2,0.62,383,"1.000","1.0000","0.0483"
"82","GO:0050770","regulation of axonogenesis",23,2,0.62,384,"1.000","0.4268","0.0483"
"83","GO:0043604","amide biosynthetic process",404,4,10.94,385,"1.000","0.5305","0.0487"
